subject	activity	featDomain	featAcceleration	featInstrument	featJerk	featMagnitude	featVariable	featAxis	count	average
1	LAYING	Time	NA	Gyroscope	NA	NA	Mean	X	50	-0.016553093978
1	LAYING	Time	NA	Gyroscope	NA	NA	Mean	Y	50	-0.064486124088
1	LAYING	Time	NA	Gyroscope	NA	NA	Mean	Z	50	0.14868943626
1	LAYING	Time	NA	Gyroscope	NA	NA	SD	X	50	-0.87354386782
1	LAYING	Time	NA	Gyroscope	NA	NA	SD	Y	50	-0.9510904402
1	LAYING	Time	NA	Gyroscope	NA	NA	SD	Z	50	-0.9082846626
1	LAYING	Time	NA	Gyroscope	NA	Magnitude	Mean	NA	50	-0.874759548
1	LAYING	Time	NA	Gyroscope	NA	Magnitude	SD	NA	50	-0.81901016976
1	LAYING	Time	NA	Gyroscope	Jerk	NA	Mean	X	50	-0.107270949192
1	LAYING	Time	NA	Gyroscope	Jerk	NA	Mean	Y	50	-0.04151728689
1	LAYING	Time	NA	Gyroscope	Jerk	NA	Mean	Z	50	-0.0740501211
1	LAYING	Time	NA	Gyroscope	Jerk	NA	SD	X	50	-0.9186085208
1	LAYING	Time	NA	Gyroscope	Jerk	NA	SD	Y	50	-0.9679072436
1	LAYING	Time	NA	Gyroscope	Jerk	NA	SD	Z	50	-0.9577901596
1	LAYING	Time	NA	Gyroscope	Jerk	Magnitude	Mean	NA	50	-0.96346103
1	LAYING	Time	NA	Gyroscope	Jerk	Magnitude	SD	NA	50	-0.9358409828
1	LAYING	Time	Body	Accelerometer	NA	NA	Mean	X	50	0.22159824394
1	LAYING	Time	Body	Accelerometer	NA	NA	Mean	Y	50	-0.0405139534294
1	LAYING	Time	Body	Accelerometer	NA	NA	Mean	Z	50	-0.11320355358
1	LAYING	Time	Body	Accelerometer	NA	NA	SD	X	50	-0.9280564692
1	LAYING	Time	Body	Accelerometer	NA	NA	SD	Y	50	-0.83682740562
1	LAYING	Time	Body	Accelerometer	NA	NA	SD	Z	50	-0.826061401628
1	LAYING	Time	Body	Accelerometer	NA	Magnitude	Mean	NA	50	-0.8419291525
1	LAYING	Time	Body	Accelerometer	NA	Magnitude	SD	NA	50	-0.79514486386
1	LAYING	Time	Body	Accelerometer	Jerk	NA	Mean	X	50	0.0810865342
1	LAYING	Time	Body	Accelerometer	Jerk	NA	Mean	Y	50	0.0038382040088
1	LAYING	Time	Body	Accelerometer	Jerk	NA	Mean	Z	50	0.010834236361
1	LAYING	Time	Body	Accelerometer	Jerk	NA	SD	X	50	-0.958482112
1	LAYING	Time	Body	Accelerometer	Jerk	NA	SD	Y	50	-0.9241492736
1	LAYING	Time	Body	Accelerometer	Jerk	NA	SD	Z	50	-0.9548551108
1	LAYING	Time	Body	Accelerometer	Jerk	Magnitude	Mean	NA	50	-0.9543962646
1	LAYING	Time	Body	Accelerometer	Jerk	Magnitude	SD	NA	50	-0.9282456284
1	LAYING	Time	Gravity	Accelerometer	NA	NA	Mean	X	50	-0.24888179828
1	LAYING	Time	Gravity	Accelerometer	NA	NA	Mean	Y	50	0.70554977346
1	LAYING	Time	Gravity	Accelerometer	NA	NA	Mean	Z	50	0.4458177198
1	LAYING	Time	Gravity	Accelerometer	NA	NA	SD	X	50	-0.8968300184
1	LAYING	Time	Gravity	Accelerometer	NA	NA	SD	Y	50	-0.90772000676
1	LAYING	Time	Gravity	Accelerometer	NA	NA	SD	Z	50	-0.85236629022
1	LAYING	Time	Gravity	Accelerometer	NA	Magnitude	Mean	NA	50	-0.8419291525
1	LAYING	Time	Gravity	Accelerometer	NA	Magnitude	SD	NA	50	-0.79514486386
1	LAYING	Freq	NA	Gyroscope	NA	NA	Mean	X	50	-0.850249174586
1	LAYING	Freq	NA	Gyroscope	NA	NA	Mean	Y	50	-0.9521914948
1	LAYING	Freq	NA	Gyroscope	NA	NA	Mean	Z	50	-0.909302721
1	LAYING	Freq	NA	Gyroscope	NA	NA	SD	X	50	-0.8822964508
1	LAYING	Freq	NA	Gyroscope	NA	NA	SD	Y	50	-0.9512320494
1	LAYING	Freq	NA	Gyroscope	NA	NA	SD	Z	50	-0.9165825082
1	LAYING	Freq	NA	Gyroscope	NA	Magnitude	Mean	NA	50	-0.8621901854
1	LAYING	Freq	NA	Gyroscope	NA	Magnitude	SD	NA	50	-0.82431943968
1	LAYING	Freq	NA	Gyroscope	Jerk	Magnitude	Mean	NA	50	-0.9423669466
1	LAYING	Freq	NA	Gyroscope	Jerk	Magnitude	SD	NA	50	-0.9326606676
1	LAYING	Freq	Body	Accelerometer	NA	NA	Mean	X	50	-0.9390990524
1	LAYING	Freq	Body	Accelerometer	NA	NA	Mean	Y	50	-0.86706520518
1	LAYING	Freq	Body	Accelerometer	NA	NA	Mean	Z	50	-0.8826668762
1	LAYING	Freq	Body	Accelerometer	NA	NA	SD	X	50	-0.9244374346
1	LAYING	Freq	Body	Accelerometer	NA	NA	SD	Y	50	-0.8336255561
1	LAYING	Freq	Body	Accelerometer	NA	NA	SD	Z	50	-0.81289155944
1	LAYING	Freq	Body	Accelerometer	NA	Magnitude	Mean	NA	50	-0.8617676481
1	LAYING	Freq	Body	Accelerometer	NA	Magnitude	SD	NA	50	-0.7983009404
1	LAYING	Freq	Body	Accelerometer	Jerk	NA	Mean	X	50	-0.9570738838
1	LAYING	Freq	Body	Accelerometer	Jerk	NA	Mean	Y	50	-0.9224626098
1	LAYING	Freq	Body	Accelerometer	Jerk	NA	Mean	Z	50	-0.9480609042
1	LAYING	Freq	Body	Accelerometer	Jerk	NA	SD	X	50	-0.9641607086
1	LAYING	Freq	Body	Accelerometer	Jerk	NA	SD	Y	50	-0.9322178704
1	LAYING	Freq	Body	Accelerometer	Jerk	NA	SD	Z	50	-0.9605869872
1	LAYING	Freq	Body	Accelerometer	Jerk	Magnitude	Mean	NA	50	-0.9333003608
1	LAYING	Freq	Body	Accelerometer	Jerk	Magnitude	SD	NA	50	-0.9218039756
1	SITTING	Time	NA	Gyroscope	NA	NA	Mean	X	47	-0.045350056512766
1	SITTING	Time	NA	Gyroscope	NA	NA	Mean	Y	47	-0.0919241549361702
1	SITTING	Time	NA	Gyroscope	NA	NA	Mean	Z	47	0.0629313811914894
1	SITTING	Time	NA	Gyroscope	NA	NA	SD	X	47	-0.977211283191489
1	SITTING	Time	NA	Gyroscope	NA	NA	SD	Y	47	-0.966473895319149
1	SITTING	Time	NA	Gyroscope	NA	NA	SD	Z	47	-0.941425920851064
1	SITTING	Time	NA	Gyroscope	NA	Magnitude	Mean	NA	47	-0.93089249
1	SITTING	Time	NA	Gyroscope	NA	Magnitude	SD	NA	47	-0.934531840425532
1	SITTING	Time	NA	Gyroscope	Jerk	NA	Mean	X	47	-0.0936793807234043
1	SITTING	Time	NA	Gyroscope	Jerk	NA	Mean	Y	47	-0.0402118124255319
1	SITTING	Time	NA	Gyroscope	Jerk	NA	Mean	Z	47	-0.046702627
1	SITTING	Time	NA	Gyroscope	Jerk	NA	SD	X	47	-0.99173159212766
1	SITTING	Time	NA	Gyroscope	Jerk	NA	SD	Y	47	-0.989518068510638
1	SITTING	Time	NA	Gyroscope	Jerk	NA	SD	Z	47	-0.987935806382979
1	SITTING	Time	NA	Gyroscope	Jerk	Magnitude	Mean	NA	47	-0.991976341276596
1	SITTING	Time	NA	Gyroscope	Jerk	Magnitude	SD	NA	47	-0.988308728510638
1	SITTING	Time	Body	Accelerometer	NA	NA	Mean	X	47	0.261237565425532
1	SITTING	Time	Body	Accelerometer	NA	NA	Mean	Y	47	-0.00130828765170213
1	SITTING	Time	Body	Accelerometer	NA	NA	Mean	Z	47	-0.104544182255319
1	SITTING	Time	Body	Accelerometer	NA	NA	SD	X	47	-0.977229008297872
1	SITTING	Time	Body	Accelerometer	NA	NA	SD	Y	47	-0.922618641914894
1	SITTING	Time	Body	Accelerometer	NA	NA	SD	Z	47	-0.93958629106383
1	SITTING	Time	Body	Accelerometer	NA	Magnitude	Mean	NA	47	-0.948536786170213
1	SITTING	Time	Body	Accelerometer	NA	Magnitude	SD	NA	47	-0.927078418723404
1	SITTING	Time	Body	Accelerometer	Jerk	NA	Mean	X	47	0.0774825199574468
1	SITTING	Time	Body	Accelerometer	Jerk	NA	Mean	Y	47	-0.000619102785106384
1	SITTING	Time	Body	Accelerometer	Jerk	NA	Mean	Z	47	-0.00336779235021277
1	SITTING	Time	Body	Accelerometer	Jerk	NA	SD	X	47	-0.986430711276596
1	SITTING	Time	Body	Accelerometer	Jerk	NA	SD	Y	47	-0.981371965319149
1	SITTING	Time	Body	Accelerometer	Jerk	NA	SD	Z	47	-0.987910804468085
1	SITTING	Time	Body	Accelerometer	Jerk	Magnitude	Mean	NA	47	-0.987364195531915
1	SITTING	Time	Body	Accelerometer	Jerk	Magnitude	SD	NA	47	-0.984120024042553
1	SITTING	Time	Gravity	Accelerometer	NA	NA	Mean	X	47	0.831509933404255
1	SITTING	Time	Gravity	Accelerometer	NA	NA	Mean	Y	47	0.204411592680851
1	SITTING	Time	Gravity	Accelerometer	NA	NA	Mean	Z	47	0.332043702765957
1	SITTING	Time	Gravity	Accelerometer	NA	NA	SD	X	47	-0.968457145744681
1	SITTING	Time	Gravity	Accelerometer	NA	NA	SD	Y	47	-0.935517055957447
1	SITTING	Time	Gravity	Accelerometer	NA	NA	SD	Z	47	-0.949040933191489
1	SITTING	Time	Gravity	Accelerometer	NA	Magnitude	Mean	NA	47	-0.948536786170213
1	SITTING	Time	Gravity	Accelerometer	NA	Magnitude	SD	NA	47	-0.927078418723404
1	SITTING	Freq	NA	Gyroscope	NA	NA	Mean	X	47	-0.976161464042553
1	SITTING	Freq	NA	Gyroscope	NA	NA	Mean	Y	47	-0.975838585319149
1	SITTING	Freq	NA	Gyroscope	NA	NA	Mean	Z	47	-0.951315544468085
1	SITTING	Freq	NA	Gyroscope	NA	NA	SD	X	47	-0.977904227021277
1	SITTING	Freq	NA	Gyroscope	NA	NA	SD	Y	47	-0.962345042553192
1	SITTING	Freq	NA	Gyroscope	NA	NA	SD	Z	47	-0.94391784106383
1	SITTING	Freq	NA	Gyroscope	NA	Magnitude	Mean	NA	47	-0.958435589361702
1	SITTING	Freq	NA	Gyroscope	NA	Magnitude	SD	NA	47	-0.932198374893617
1	SITTING	Freq	NA	Gyroscope	Jerk	Magnitude	Mean	NA	47	-0.989797547234043
1	SITTING	Freq	NA	Gyroscope	Jerk	Magnitude	SD	NA	47	-0.987049617234043
1	SITTING	Freq	Body	Accelerometer	NA	NA	Mean	X	47	-0.979641238723404
1	SITTING	Freq	Body	Accelerometer	NA	NA	Mean	Y	47	-0.944084550425532
1	SITTING	Freq	Body	Accelerometer	NA	NA	Mean	Z	47	-0.959184889148936
1	SITTING	Freq	Body	Accelerometer	NA	NA	SD	X	47	-0.976412313191489
1	SITTING	Freq	Body	Accelerometer	NA	NA	SD	Y	47	-0.917275006382979
1	SITTING	Freq	Body	Accelerometer	NA	NA	SD	Z	47	-0.934469558085106
1	SITTING	Freq	Body	Accelerometer	NA	Magnitude	Mean	NA	47	-0.947782922553192
1	SITTING	Freq	Body	Accelerometer	NA	Magnitude	SD	NA	47	-0.928444801702128
1	SITTING	Freq	Body	Accelerometer	Jerk	NA	Mean	X	47	-0.986597022553191
1	SITTING	Freq	Body	Accelerometer	Jerk	NA	Mean	Y	47	-0.981579467021277
1	SITTING	Freq	Body	Accelerometer	Jerk	NA	Mean	Z	47	-0.986053092340425
1	SITTING	Freq	Body	Accelerometer	Jerk	NA	SD	X	47	-0.987492994468085
1	SITTING	Freq	Body	Accelerometer	Jerk	NA	SD	Y	47	-0.982513909574468
1	SITTING	Freq	Body	Accelerometer	Jerk	NA	SD	Z	47	-0.988339184893617
1	SITTING	Freq	Body	Accelerometer	Jerk	Magnitude	Mean	NA	47	-0.985262126808511
1	SITTING	Freq	Body	Accelerometer	Jerk	Magnitude	SD	NA	47	-0.981606177446808
1	STANDING	Time	NA	Gyroscope	NA	NA	Mean	X	53	-0.0239877347979245
1	STANDING	Time	NA	Gyroscope	NA	NA	Mean	Y	53	-0.0593972209811321
1	STANDING	Time	NA	Gyroscope	NA	NA	Mean	Z	53	0.074800751
1	STANDING	Time	NA	Gyroscope	NA	NA	SD	X	53	-0.987191946603774
1	STANDING	Time	NA	Gyroscope	NA	NA	SD	Y	53	-0.98773444
1	STANDING	Time	NA	Gyroscope	NA	NA	SD	Z	53	-0.980645626981132
1	STANDING	Time	NA	Gyroscope	NA	Magnitude	Mean	NA	53	-0.976493792830189
1	STANDING	Time	NA	Gyroscope	NA	Magnitude	SD	NA	53	-0.978690028679245
1	STANDING	Time	NA	Gyroscope	Jerk	NA	Mean	X	53	-0.0996092129056604
1	STANDING	Time	NA	Gyroscope	Jerk	NA	Mean	Y	53	-0.0440627877924528
1	STANDING	Time	NA	Gyroscope	Jerk	NA	Mean	Z	53	-0.0489505466716981
1	STANDING	Time	NA	Gyroscope	Jerk	NA	SD	X	53	-0.992945106981132
1	STANDING	Time	NA	Gyroscope	Jerk	NA	SD	Y	53	-0.995137917358491
1	STANDING	Time	NA	Gyroscope	Jerk	NA	SD	Z	53	-0.992108467169811
1	STANDING	Time	NA	Gyroscope	Jerk	Magnitude	Mean	NA	53	-0.994966790566038
1	STANDING	Time	NA	Gyroscope	Jerk	Magnitude	SD	NA	53	-0.994733238679245
1	STANDING	Time	Body	Accelerometer	NA	NA	Mean	X	53	0.278917629056604
1	STANDING	Time	Body	Accelerometer	NA	NA	Mean	Y	53	-0.0161375901037736
1	STANDING	Time	Body	Accelerometer	NA	NA	Mean	Z	53	-0.110601817735849
1	STANDING	Time	Body	Accelerometer	NA	NA	SD	X	53	-0.995759901509434
1	STANDING	Time	Body	Accelerometer	NA	NA	SD	Y	53	-0.973190056415094
1	STANDING	Time	Body	Accelerometer	NA	NA	SD	Z	53	-0.979775876981132
1	STANDING	Time	Body	Accelerometer	NA	Magnitude	Mean	NA	53	-0.984278207358491
1	STANDING	Time	Body	Accelerometer	NA	Magnitude	SD	NA	53	-0.981942928867925
1	STANDING	Time	Body	Accelerometer	Jerk	NA	Mean	X	53	0.0753766542264151
1	STANDING	Time	Body	Accelerometer	Jerk	NA	Mean	Y	53	0.00797573092830189
1	STANDING	Time	Body	Accelerometer	Jerk	NA	Mean	Z	53	-0.00368524954709434
1	STANDING	Time	Body	Accelerometer	Jerk	NA	SD	X	53	-0.994604542264151
1	STANDING	Time	Body	Accelerometer	Jerk	NA	SD	Y	53	-0.98564873245283
1	STANDING	Time	Body	Accelerometer	Jerk	NA	SD	Z	53	-0.992251177358491
1	STANDING	Time	Body	Accelerometer	Jerk	Magnitude	Mean	NA	53	-0.992367790566038
1	STANDING	Time	Body	Accelerometer	Jerk	Magnitude	SD	NA	53	-0.993096209433962
1	STANDING	Time	Gravity	Accelerometer	NA	NA	Mean	X	53	0.942952000377358
1	STANDING	Time	Gravity	Accelerometer	NA	NA	Mean	Y	53	-0.272983832264151
1	STANDING	Time	Gravity	Accelerometer	NA	NA	Mean	Z	53	0.0134905823226415
1	STANDING	Time	Gravity	Accelerometer	NA	NA	SD	X	53	-0.99376298509434
1	STANDING	Time	Gravity	Accelerometer	NA	NA	SD	Y	53	-0.981225957924528
1	STANDING	Time	Gravity	Accelerometer	NA	NA	SD	Z	53	-0.976324063584906
1	STANDING	Time	Gravity	Accelerometer	NA	Magnitude	Mean	NA	53	-0.984278207358491
1	STANDING	Time	Gravity	Accelerometer	NA	Magnitude	SD	NA	53	-0.981942928867925
1	STANDING	Freq	NA	Gyroscope	NA	NA	Mean	X	53	-0.986386786037736
1	STANDING	Freq	NA	Gyroscope	NA	NA	Mean	Y	53	-0.988984455849057
1	STANDING	Freq	NA	Gyroscope	NA	NA	Mean	Z	53	-0.980773122830189
1	STANDING	Freq	NA	Gyroscope	NA	NA	SD	X	53	-0.987497128679245
1	STANDING	Freq	NA	Gyroscope	NA	NA	SD	Y	53	-0.987107727735849
1	STANDING	Freq	NA	Gyroscope	NA	NA	SD	Z	53	-0.98234533
1	STANDING	Freq	NA	Gyroscope	NA	Magnitude	Mean	NA	53	-0.984617623396226
1	STANDING	Freq	NA	Gyroscope	NA	Magnitude	SD	NA	53	-0.978466072075472
1	STANDING	Freq	NA	Gyroscope	Jerk	Magnitude	Mean	NA	53	-0.994815376981132
1	STANDING	Freq	NA	Gyroscope	Jerk	Magnitude	SD	NA	53	-0.994671123207547
1	STANDING	Freq	Body	Accelerometer	NA	NA	Mean	X	53	-0.995249932641509
1	STANDING	Freq	Body	Accelerometer	NA	NA	Mean	Y	53	-0.977070847735849
1	STANDING	Freq	Body	Accelerometer	NA	NA	Mean	Z	53	-0.985297098679245
1	STANDING	Freq	Body	Accelerometer	NA	NA	SD	X	53	-0.99602834509434
1	STANDING	Freq	Body	Accelerometer	NA	NA	SD	Y	53	-0.972293102075472
1	STANDING	Freq	Body	Accelerometer	NA	NA	SD	Z	53	-0.977937259622642
1	STANDING	Freq	Body	Accelerometer	NA	Magnitude	Mean	NA	53	-0.985356361132075
1	STANDING	Freq	Body	Accelerometer	NA	Magnitude	SD	NA	53	-0.982313804716981
1	STANDING	Freq	Body	Accelerometer	Jerk	NA	Mean	X	53	-0.994630797358491
1	STANDING	Freq	Body	Accelerometer	Jerk	NA	Mean	Y	53	-0.985418704528302
1	STANDING	Freq	Body	Accelerometer	Jerk	NA	Mean	Z	53	-0.990752166037736
1	STANDING	Freq	Body	Accelerometer	Jerk	NA	SD	X	53	-0.995073759245283
1	STANDING	Freq	Body	Accelerometer	Jerk	NA	SD	Y	53	-0.987018226792453
1	STANDING	Freq	Body	Accelerometer	Jerk	NA	SD	Z	53	-0.992349818113208
1	STANDING	Freq	Body	Accelerometer	Jerk	Magnitude	Mean	NA	53	-0.99254247754717
1	STANDING	Freq	Body	Accelerometer	Jerk	Magnitude	SD	NA	53	-0.992536003396226
1	WALKING	Time	NA	Gyroscope	NA	NA	Mean	X	95	-0.041830963526
1	WALKING	Time	NA	Gyroscope	NA	NA	Mean	Y	95	-0.0695300462115789
1	WALKING	Time	NA	Gyroscope	NA	NA	Mean	Z	95	0.0849448173042105
1	WALKING	Time	NA	Gyroscope	NA	NA	SD	X	95	-0.473535485894737
1	WALKING	Time	NA	Gyroscope	NA	NA	SD	Y	95	-0.0546077686594737
1	WALKING	Time	NA	Gyroscope	NA	NA	SD	Z	95	-0.344266629473684
1	WALKING	Time	NA	Gyroscope	NA	Magnitude	Mean	NA	95	-0.160979552536842
1	WALKING	Time	NA	Gyroscope	NA	Magnitude	SD	NA	95	-0.186978364526316
1	WALKING	Time	NA	Gyroscope	Jerk	NA	Mean	X	95	-0.0899975423705263
1	WALKING	Time	NA	Gyroscope	Jerk	NA	Mean	Y	95	-0.0398428709463158
1	WALKING	Time	NA	Gyroscope	Jerk	NA	Mean	Z	95	-0.0461309295021053
1	WALKING	Time	NA	Gyroscope	Jerk	NA	SD	X	95	-0.207421854757895
1	WALKING	Time	NA	Gyroscope	Jerk	NA	SD	Y	95	-0.304468510631579
1	WALKING	Time	NA	Gyroscope	Jerk	NA	SD	Z	95	-0.404255452631579
1	WALKING	Time	NA	Gyroscope	Jerk	Magnitude	Mean	NA	95	-0.298703679084211
1	WALKING	Time	NA	Gyroscope	Jerk	Magnitude	SD	NA	95	-0.325324878894737
1	WALKING	Time	Body	Accelerometer	NA	NA	Mean	X	95	0.277330758736842
1	WALKING	Time	Body	Accelerometer	NA	NA	Mean	Y	95	-0.0173838185273684
1	WALKING	Time	Body	Accelerometer	NA	NA	Mean	Z	95	-0.111148103547368
1	WALKING	Time	Body	Accelerometer	NA	NA	SD	X	95	-0.283740258842105
1	WALKING	Time	Body	Accelerometer	NA	NA	SD	Y	95	0.114461336747368
1	WALKING	Time	Body	Accelerometer	NA	NA	SD	Z	95	-0.260027902210526
1	WALKING	Time	Body	Accelerometer	NA	Magnitude	Mean	NA	95	-0.136971176556842
1	WALKING	Time	Body	Accelerometer	NA	Magnitude	SD	NA	95	-0.219688645631579
1	WALKING	Time	Body	Accelerometer	Jerk	NA	Mean	X	95	0.0740416333157895
1	WALKING	Time	Body	Accelerometer	Jerk	NA	Mean	Y	95	0.0282721095884211
1	WALKING	Time	Body	Accelerometer	Jerk	NA	Mean	Z	95	-0.00416840617789474
1	WALKING	Time	Body	Accelerometer	Jerk	NA	SD	X	95	-0.113615602435789
1	WALKING	Time	Body	Accelerometer	Jerk	NA	SD	Y	95	0.0670025007684211
1	WALKING	Time	Body	Accelerometer	Jerk	NA	SD	Z	95	-0.502699788526316
1	WALKING	Time	Body	Accelerometer	Jerk	Magnitude	Mean	NA	95	-0.141428809031579
1	WALKING	Time	Body	Accelerometer	Jerk	Magnitude	SD	NA	95	-0.0744717500625263
1	WALKING	Time	Gravity	Accelerometer	NA	NA	Mean	X	95	0.935223201473684
1	WALKING	Time	Gravity	Accelerometer	NA	NA	Mean	Y	95	-0.282165021263158
1	WALKING	Time	Gravity	Accelerometer	NA	NA	Mean	Z	95	-0.068102864
1	WALKING	Time	Gravity	Accelerometer	NA	NA	SD	X	95	-0.976609642526316
1	WALKING	Time	Gravity	Accelerometer	NA	NA	SD	Y	95	-0.971305961473684
1	WALKING	Time	Gravity	Accelerometer	NA	NA	SD	Z	95	-0.947717226105263
1	WALKING	Time	Gravity	Accelerometer	NA	Magnitude	Mean	NA	95	-0.136971176556842
1	WALKING	Time	Gravity	Accelerometer	NA	Magnitude	SD	NA	95	-0.219688645631579
1	WALKING	Freq	NA	Gyroscope	NA	NA	Mean	X	95	-0.339032197115789
1	WALKING	Freq	NA	Gyroscope	NA	NA	Mean	Y	95	-0.103059416434737
1	WALKING	Freq	NA	Gyroscope	NA	NA	Mean	Z	95	-0.255940940315789
1	WALKING	Freq	NA	Gyroscope	NA	NA	SD	X	95	-0.516691938736842
1	WALKING	Freq	NA	Gyroscope	NA	NA	SD	Y	95	-0.0335081597884211
1	WALKING	Freq	NA	Gyroscope	NA	NA	SD	Z	95	-0.436562227473684
1	WALKING	Freq	NA	Gyroscope	NA	Magnitude	Mean	NA	95	-0.199252568986316
1	WALKING	Freq	NA	Gyroscope	NA	Magnitude	SD	NA	95	-0.321017953894737
1	WALKING	Freq	NA	Gyroscope	Jerk	Magnitude	Mean	NA	95	-0.319308593778947
