"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
"1" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 50 -0.016553093978
"2" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 50 -0.064486124088
"3" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 50 0.14868943626
"4" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 50 -0.87354386782
"5" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 50 -0.9510904402
"6" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 50 -0.9082846626
"7" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 50 -0.874759548
"8" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 50 -0.81901016976
"9" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 50 -0.107270949192
"10" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 50 -0.04151728689
"11" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 50 -0.0740501211
"12" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 50 -0.9186085208
"13" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 50 -0.9679072436
"14" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 50 -0.9577901596
"15" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 50 -0.96346103
"16" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 50 -0.9358409828
"17" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 50 0.22159824394
"18" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 50 -0.0405139534294
"19" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 50 -0.11320355358
"20" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.9280564692
"21" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.83682740562
"22" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.826061401628
"23" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.8419291525
"24" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.79514486386
"25" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 50 0.0810865342
"26" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 50 0.0038382040088
"27" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 50 0.010834236361
"28" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 50 -0.958482112
"29" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 50 -0.9241492736
"30" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 50 -0.9548551108
"31" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 50 -0.9543962646
"32" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 50 -0.9282456284
"33" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.24888179828
"34" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 50 0.70554977346
"35" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 50 0.4458177198
"36" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.8968300184
"37" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.90772000676
"38" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.85236629022
"39" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.8419291525
"40" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.79514486386
"41" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 50 -0.850249174586
"42" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 50 -0.9521914948
"43" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 50 -0.909302721
"44" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 50 -0.8822964508
"45" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 50 -0.9512320494
